state,x,y
Andhra Pradesh,-82,-196
Arunachal Pradesh,284,128
Assam,237,80
Bihar,79,60
Chhattisgarh,-15,-49
Goa,-195,-200
Gujarat,-253,-1
Haryana,-141,150
Himachal Pradesh,-124,231
Jharkhand,63,6
Karnataka,-177,-222
Kerala,-147,-308
Madhya Pradesh,-102,0
Maharashtra,-156,-92
Manipur,271,36
Meghalaya,211,56
Mizoram,246,1
Nagaland,286,71
Odisha,47,-65
Punjab,-168,203
Rajasthan,-226,94
Sikkim,145,112
Tamil Nadu,-98,-288
Telangana,-93,-135
Tripura,212,8
Uttar Pradesh,-69,113
Uttarakhand,-80,184
West Bengal,126,-2
